Reported Date,Total Number of Dead and Missing,Coordinates
"September 13, 2016",1,"32.00365, -112.66553"
"September 14, 2016",1,"31.98618, -112.1196"
"September 14, 2016",5,"33.3686315, 12.1119778"
"September 16, 2016",20,"8.6974576, -77.3112695"
"September 15, 2016",1,"38.9607242, 10.9044854"
"September 15, 2016",1,"11.1496092, 42.6992897"
"September 16, 2016",2,"9.5488981, 44.0293346"
"September 16, 2016",1,"27.7921754, -99.8707594"
"September 16, 2016",1,"50.9518803, 1.8339367"
"September 17, 2016",1,"32.176389, -109.086389"
"September 17, 2016",1,"12.5561539, 37.4133395"
"September 19, 2016",2,"15.5015341, 32.5025561"
"September 19, 2016",2,"14.0316722, 35.3417723"
"September 19, 2016",1,"15.4558144, 36.3787571"
"September 19, 2016",2,"24.138269, 33.026759"
"September 19, 2016",1,"17.6922271, 33.9762492"
"September 19, 2016",25,"27.68836, -99.2525"
"September 19, 2016",1,"38.2490092, 21.7105864"
"September 19, 2016",1,"31.846033, -112.658867"
"September 19, 2016",1,"28.703061, -100.510967"
"September 20, 2016",1,"31.71405, -111.88878"
"September 20, 2016",1,"31.73753, -111.92515"
"September 20, 2016",1,"31.75668, -112.06646"
"September 20, 2016",1,"37.16257, 9.1214544"
"September 20, 2016",2,"14.0316722, 35.3417723"
"September 20, 2016",3,"29.5001532, 33.9979088"
"September 20, 2016",1,"-9.3095648, 32.7689479"
"September 21, 2016",7,"19.4022552, 27.9053789"
"September 21, 2016",288,"31.4732818, 30.3236402"
"September 21, 2016",1,"11.1971661, -85.5140377"
"September 21, 2016",1,"18.2681566, -95.8969461"
"September 21, 2016",1,"11.0970362, -85.6830116"
"September 21, 2016",20,"24.7132563, -81.1194852"
"September 21, 2016",1,"21.6688827, 39.1538425"
"September 22, 2016",1,"32.534017, -111.868567"
"September 22, 2016",1,"32.534017, -111.868567"
"September 23, 2016",1,"31.844233, -112.129717"
"September 23, 2016",1,"-0.4591034, 39.6310758"
"September 23, 2016",1,"2.7769832, 45.4992664"
"September 23, 2016",1,"-0.3540976, 42.5278184"
"September 23, 2016",1,"15.3597416, 49.7064001"
"September 24, 2016",1,"50.9518803, 1.8339367"
"September 24, 2016",1,"27.1334908, -103.434484"
"September 27, 2016",1,"32.069017, -112.97895"
"September 28, 2016",18,"32.0964258, 23.9205167"
"September 28, 2016",1,"27.1334908, -103.434484"
"September 29, 2016",27,"37.0319069, 27.421418"
"September 29, 2016",14,"27.3791818, 58.5375272"
"September 30, 2016",1,"32.78415, -112.473983"
"September 30, 2016",1,"7.7811194, -77.9325564"
"September 30, 2016",1,"27.0663171, 14.3336145"
"September 30, 2016",1,"32.8872094, 13.1913383"
"September 30, 2016",1,"27.0663171, 14.3336145"
"September 30, 2016",1,"32.8872094, 13.1913383"
"September 30, 2016",5,"32.45167966, 14.59161225"
"September 30, 2016",1,"27.10446257, 14.8239729875"
"October 1, 2016",7,"-12.5944295, 38.794922"
"October 2, 2016",1,"28.74436816, -100.4689656749"
"October 3, 2016",10,"32.7279874, 15.0685373"
"October 3, 2016",11,"32.885643, 13.6786856"
"October 3, 2016",30,"32.878302, 12.3868145"
"October 3, 2016",1,"37.5998642, 26.0296158"
"October 3, 2016",1,"9.3521044, 42.7773712"
"October 3, 2016",1,"13.627617, 25.3105269"
"October 3, 2016",1,"32.9284274, 12.0446304"
"October 4, 2016",28,"34.2533716, 14.4988153"
"October 4, 2016",6,"18.2681566, -95.8969461"
"October 5, 2016",3,"32.9557974, 12.05888"
"October 5, 2016",10,"11.9618171, 43.2964341"
"October 6, 2016",1,"37.8438699, 27.242286"
"October 6, 2016",1,"32.385, -113.106033"
"October 9, 2016",2,"32.9557974, 12.05888"
"October 9, 2016",1,"50.9518803, 1.8339367"
"October 9, 2016",1,"43.8011707, 7.5920284"
"October 9, 2016",1,"15.6788876, -93.2305494"
"October 10, 2016",1,"32.269733, -113.3062"
"October 10, 2016",1,"32.269733, -113.306"
"October 10, 2016",1,"9.5575102, 41.8113306"
"October 10, 2016",30,"12.0521564, 24.8744624"
"October 10, 2016",6,"30.2723743, 19.0741052"
"October 10, 2016",5,"12.9944787, 36.1824054"
"October 10, 2016",3,"31.199, 29.89438"
"October 10, 2016",6,"11.5806779, 37.3103831"
"October 10, 2016",2,"12.9666496, 36.1113941"
"October 10, 2016",2,"17.5839735, 33.950157"
"October 11, 2016",1,"28.6611418, -100.5690166"
"October 12, 2016",1,"1.1983568, -77.269367"
"October 12, 2016",4,"35.8953846, -5.3348172"
"October 12, 2016",1,"41.3442161, 26.0996916"
"October 12, 2016",1,"27.1334908, -103.434484"
"October 12, 2016",1,"32.12895, -112.976266"
"October 14, 2016",17,"38.9607242, 10.9044854"
"October 14, 2016",1,"50.9518803, 1.8339367"
"October 14, 2016",1,"20.129511, -104.4682014"
"October 14, 2016",1,"31.8802, -111.374733"
"October 14, 2016",1,"31.865817, -111.316683"
"October 14, 2016",1,"31.86601, -111.29951"
"October 14, 2016",1,"32.205833, -111.686283"
"October 14, 2016",1,"19.5252595, 33.2973288"
"October 14, 2016",1,"24.138269, 33.026759"
"October 14, 2016",2,"17.6922271, 33.9762492"
"October 14, 2016",2,"20.7308748, 30.790269"
"October 15, 2016",1,"15.1115526, 36.230819"
"October 15, 2016",1,"14.8731339, 38.1555819"
"October 15, 2016",1,"17.7025623, 38.3630391"
"October 16, 2016",5,"20.7948323, 30.3382944"
"October 18, 2016",1,"9.3128486, 42.1006391"
"October 18, 2016",1,"10.4325373, 44.9946415"
"October 18, 2016",1,"23.285107, 31.5204557"
"October 18, 2016",1,"8.4066579, 48.4713577"
"October 18, 2016",1,"51.1018952, 0.9833916"
"October 18, 2016",1,"23.2735573, -81.24822"
"October 18, 2016",1,"50.5298736, 2.626163"
"October 19, 2016",3,"14.0316722, 35.3417723"
"October 19, 2016",9,"33.1025518, 13.1308465"
"October 19, 2016",1,"16.0890422, -93.774371"
"October 19, 2016",1,"28.6913529, -100.5748614"
"October 19, 2016",1,"31.62525, -111.8471"
"October 19, 2016",1,"33.0249505, -115.8450245"
"October 19, 2016",6,"15.5015341, 32.5025561"
"October 19, 2016",2,"17.6922271, 33.9762492"
"October 19, 2016",2,"13.8594069, 33.0853273"
"October 19, 2016",2,"23.459686, 30.6654494"
"October 20, 2016",2,"14.0316722, 35.3417723"
"October 20, 2016",30,"23.285107, 31.5204557"
"October 20, 2016",6,"23.2488413, 19.7242161"
"October 20, 2016",1,"9.3128486, 42.1006391"
"October 20, 2016",3,"15.4558144, 36.3787571"
"October 20, 2016",1,"9.3128486, 42.1006391"
"October 20, 2016",6,"12.9179932, 33.19502"
"October 20, 2016",5,"27.1801603, 31.1535297"
"October 20, 2016",2,"15.5015341, 32.5025561"
"October 20, 2016",12,"23.285107, 31.5204557"
"October 20, 2016",5,"12.601127, 37.4389385"
"October 20, 2016",1,"-9.3103227, 32.752266"
"October 20, 2016",2,"25.6948967, 32.624478"
"October 20, 2016",1,"-5.0448997, 32.0644998"
"October 20, 2016",1,"9.5575102, 41.8113306"
"October 21, 2016",14,"11.9618171, 43.2964341"
"October 21, 2016",1,"34.2533716, 14.4988153"
"October 21, 2016",3,"34.2533716, 14.4988153"
"October 21, 2016",13,"34.2533716, 14.4988153"
"October 21, 2016",14,"34.2533716, 14.4988153"
"October 21, 2016",1,"18.9202545, -98.1347244"
"October 22, 2016",1,"19.4022552, 27.9053789"
"October 23, 2016",44,"23.4586802, -105.5015737"
"October 22, 2016",1,"34.2533716, 14.4988153"
"October 22, 2016",30,"34.2533716, 14.4988153"
"October 22, 2016",1,"32.091833, -112.9795"
"October 22, 2016",1,"24.215586, -99.4332699"
"October 23, 2016",1,"43.4382779, 6.4691092"
"October 23, 2016",1,"28.6621785, -100.5764844"
"October 24, 2016",2,"24.215586, -99.4332699"
"October 24, 2016",1,"32.140133, -112.988433"
"October 25, 2016",1,"32.1396, -112.9909"
"October 25, 2016",29,"30.8804954, 16.3516697"
"October 25, 2016",1,"37.3439399, 14.1114399"
"October 26, 2016",30,"34.2533716, 14.4988153"
"October 26, 2016",29,"34.2533716, 14.4988153"
"October 26, 2016",10,"34.2533716, 14.4988153"
"October 26, 2016",10,"34.2533716, 14.4988153"
"October 26, 2016",97,"32.955844, 13.2279444"
"October 26, 2016",10,"34.2533716, 14.4988153"
"October 26, 2016",1,"50.9518803, 1.8339367"
"October 27, 2016",34,"34.2533716, 14.4988153"
"October 27, 2016",1,"31.748933, -110.17615"
"October 29, 2016",1,"32.26370999, -105.430636975"
"October 28, 2016",6,"34.2533716, 14.4988153"
"October 28, 2016",1,"27.0535507, -109.4414337"
"October 29, 2016",1,"37.2857511, 42.1994163"
"October 29, 2016",3,"34.2533716, 14.4988153"
"October 29, 2016",1,"-21.0174131, -68.9435313"
"October 31, 2016",6,"27.7345075, -97.4065528"
"October 29, 2016",7,"27.0663171, 14.3336145"
"October 29, 2016",1,"32.7811016, 12.4495221"
"October 29, 2016",5,"19.6438237, 24.4293268"
"October 29, 2016",2,"27.0663171, 14.3336145"
"November 30, 2016",1,"16.495043, -95.1357525"
"November 1, 2016",111,"30.8804954, 16.3516697"
"November 1, 2016",2,"15.893138, 35.6721952"
"November 2, 2016",60,"-1.4674013, 123.0062604"
"November 2, 2016",128,"34.2533716, 14.4988153"
"November 4, 2016",1,"37.7245805, 26.6778283"
"November 4, 2016",1,"31.723883, -112.106567"
"November 5, 2016",22,"34.2533716, 14.4988153"
"November 5, 2016",1,"34.2533716, 14.4988153"
"November 6, 2016",1,"32.7632988, 14.3136308"
"November 4, 2016",1,"27.4531416, -99.6148525"
"November 6, 2016",19,"25.3589927, -79.7192827"
"November 7, 2016",1,"14.0316722, 35.3417723"
"November 7, 2016",1,"15.5015341, 32.5025561"
"November 7, 2016",3,"20.01051, 28.43227"
"November 7, 2016",1,"27.1170691, 30.9881202"
"November 7, 2016",1,"12.9179932, 33.19502"
"November 7, 2016",2,"21.9470654, 31.1501554"
"November 7, 2016",5,"20.9649223, 92.2139799"
"November 9, 2016",26,"34.2533716, 14.4988153"
"November 9, 2016",1,"32.5788, -112.07773"
"November 10, 2016",1,"9.9513947, -84.1168109"
"November 11, 2016",10,"19.5252595, 33.2973288"
"November 11, 2016",1,"18.1404396, -93.4512256"
"November 12, 2016",1,"27.4531416, -99.6146319"
"November 14, 2016",6,"34.2533716, 14.4988153"
"November 14, 2016",135,"34.2533716, 14.4988153"
"November 14, 2016",3,"34.2533716, 14.4988153"
"November 14, 2016",1,"19.3550784, 32.6471324"
"November 14, 2016",3,"11.9341684, 36.8649179"
"November 14, 2016",4,"21.73561, 28.47623"
"November 14, 2016",2,"14.3830752, 33.4611726"
"November 14, 2016",1,"17.6922271, 33.9762492"
"November 14, 2016",4,"23.459686, 30.6654494"
"November 15, 2016",3,"20.9649223, 92.2139799"
"November 15, 2016",99,"34.2533716, 14.4988153"
"November 16, 2016",4,"40.6497756, 24.6518013"
"November 16, 2016",103,"34.2533716, 14.4988153"
"November 16, 2016",1,"31.724167, -111.9245"
"November 16, 2016",1,"32.26808, -111.91801"
"November 30, 2016",1,"21.7516438, 92.6041005"
"November 16, 2016",3,"14.3830752, 33.4611726"
"November 16, 2016",2,"15.5015341, 32.5025561"
"November 16, 2016",4,"20.9166, 27.86085"
"November 16, 2016",2,"23.285107, 31.5204557"
"November 16, 2016",1,"46.0991713, 10.7746988"
"November 17, 2016",25,"34.2533716, 14.4988153"
"November 17, 2016",2,"20.7852206, 23.8458003"
"November 17, 2016",1,"17.1837833, 34.6103947"
"November 17, 2016",1,"18.2681566, -95.8969461"
"November 17, 2016",1,"31.8707, -112.7542"
"November 18, 2016",9,"37.3470607, 27.1845561"
"November 18, 2016",1,"15.3503337, 32.4374949"
"November 18, 2016",1,"9.5488981, 44.0293346"
"November 18, 2016",1,"17.1837833, 34.6103947"
"November 18, 2016",2,"14.0316722, 35.3417723"
"November 18, 2016",3,"17.6922271, 33.9762492"
"November 18, 2016",1,"23.285107, 31.5204557"
"November 18, 2016",2,"17.1837833, 34.6103947"
"November 18, 2016",3,"17.6922271, 33.9762492"
"November 18, 2016",2,"18.9576263, 29.9513902"
"November 19, 2016",1,"-19.3626446, -68.982765"
"November 19, 2016",1,"14.543877, 39.3889576"
"November 19, 2016",1,"17.5027901, 38.5262201"
"November 19, 2016",1,"15.3503337, 32.4374949"
"November 19, 2016",2,"14.0316722, 35.3417723"
"November 19, 2016",1,"23.285107, 31.5204557"
"November 20, 2016",1,"12.5881652, 33.1522764"
"November 20, 2016",2,"23.96612, 33.17874"
"November 20, 2016",1,"11.7911451, 42.8774955"
"November 20, 2016",2,"9.3521044, 42.7773712"
"November 20, 2016",5,"19.6153873, 33.2658798"
"November 20, 2016",2,"15.5015341, 32.5025561"
"November 20, 2016",1,"-3.3981431, 36.6421932"
"November 21, 2016",1,"25.550547, 15.5948265"
"November 21, 2016",1,"20.30205, 28.95899"
"November 21, 2016",1,"27.1334908, -103.434484"
"November 21, 2016",1,"44.819432, 20.3944884"
"November 21, 2016",1,"46.4892313, 11.3121383"
"November 21, 2016",1,"43.79767991, 7.6014065904"
"November 22, 2016",7,"34.2533716, 14.4988153"
"November 22, 2016",1,"32.7703544, 12.376176"
"November 23, 2016",1,"43.159215, 23.3381488"
"November 23, 2016",1,"45.040846, 19.2285877"
"November 23, 2016",28,"36.4811381, 12.4076589"
"November 23, 2016",1,"31.896033, -111.670983"
"November 23, 2016",1,"31.831217, -111.918133"
"November 18, 2016",5,"27.7150873, -99.9079019"
"November 24, 2016",1,"16.7459857, -93.1996101"
"November 25, 2016",1,"35.8918024, -5.3339862"
"November 26, 2016",8,"34.0892379, 13.438092"
"November 27, 2016",1,"32.287367, -111.691233"
"November 27, 2016",1,"-0.3540976, 42.5278184"
"November 27, 2016",1,"3.7933823, 42.531595"
"November 29, 2016",1,"31.91564, -111.7579"
"November 29, 2016",1,"18.5375878, -96.6075051"
"November 30, 2016",1,"22.1645779, -100.9703437"
"November 30, 2016",1,"-26.1332102, 28.2313545"
"November 30, 2016",1,"20.9649223, 92.2139799"
"November 30, 2016",15,"17.93776, 32.43162"
"December 3, 2016",2,"47.4892495, 12.0470017"
"December 3, 2016",5,"23.459686, 30.6654494"
"December 4, 2016",4,"13.32476, 50.14171"
"December 4, 2016",2,"34.1804604, 15.8645735"
"December 4, 2016",20,"34.1804604, 15.8645735"
"December 4, 2016",4,"34.1804604, 15.8645735"
"December 5, 2016",30,"20.9649223, 92.2139799"
"December 5, 2016",11,"32.955844, 13.2279444"
"December 5, 2016",3,"36.2253899, 36.502112"
"December 5, 2016",4,"36.7038534, 38.781604"
"December 6, 2016",5,"32.8166249, 13.3425399"
"December 7, 2016",7,"35.2528608, -3.9578892"
"December 7, 2016",20,"12.6095928, 53.6010655"
"December 7, 2016",2,"34.1804604, 15.8645735"
"December 7, 2016",1,"25.5463284, -103.4426442"
"December 7, 2016",1,"32.03843, -113.02141"
"December 8, 2016",1,"31.5011, -111.44025"
"December 8, 2016",1,"18.8564443, -97.1058781"
"December 8, 2016",10,"32.8166249, 13.3425399"
"December 8, 2016",1,"12.5881652, 33.1522764"
"December 8, 2016",1,"16.6797294, 33.4297655"
"December 8, 2016",2,"19.6153873, 33.2658798"
"December 8, 2016",6,"21.9660637, 28.3949403"
"December 9, 2016",1,"33.5079174, 11.1174217"
"December 9, 2016",2,"33.2086099, 11.2132544"
"December 10, 2016",8,"32.8166249, 13.3425399"
"December 10, 2016",1,"15.3540197, -93.4629774"
"December 10, 2016",1,"15.4558144, 36.3787571"
"December 11, 2016",1,"15.0874919, 36.5023735"
"December 11, 2016",15,"32.8166249, 13.3425399"
"December 11, 2016",6,"34.1804604, 15.8645735"
"December 14, 2016",1,"10.4325373, 44.9946415"
"December 14, 2016",1,"17.1837833, 34.6103947"
"December 14, 2016",1,"15.5015341, 32.5025561"
"December 14, 2016",2,"15.5015341, 32.5025561"
"December 14, 2016",2,"18.2701057, 33.1039237"
"December 14, 2016",1,"31.986783, -112.99865"
"December 14, 2016",1,"31.980933, -112.139183"
"December 14, 2016",2,"14.8629782, -92.4590608"
"December 13, 2016",2,"32.7861474, 12.6957731"
"December 13, 2016",3,"32.7279874, 15.0685373"
"December 13, 2016",87,"32.7610231, 12.6998943"
"December 14, 2016",20,"36.756978, 11.9928794"
"December 15, 2016",18,"20.9649223, 92.2139799"
"December 15, 2016",1,"15.1606913, 36.6745049"
"December 15, 2016",1,"9.3521044, 42.7773712"
"December 16, 2016",5,"23.6093351, 31.0688368"
"December 16, 2016",1,"19.5252595, 33.2973288"
"December 16, 2016",2,"21.9184497, 30.9785982"
"December 16, 2016",1,"3.22853, 40.70562"
"December 16, 2016",1,"32.14, -112.851833"
"December 16, 2016",1,"31.92948, -111.88075"
"December 17, 2016",1,"23.6812344, 29.8141994"
"December 17, 2016",1,"9.5575102, 41.8113306"
"December 17, 2016",1,"19.216047, 32.9922877"
"December 17, 2016",1,"23.9738116, -82.2923707"
"December 18, 2016",20,"32.3987185, 11.703661"
"December 18, 2016",1,"8.4066579, 48.4713577"
"December 19, 2016",2,"14.0316722, 35.3417723"
"December 19, 2016",5,"21.9184497, 30.9785982"
"December 19, 2016",1,"17.1837833, 34.6103947"
"December 19, 2016",4,"20.63368, 26.03502"
"December 19, 2016",3,"17.6922271, 33.9762492"
"December 19, 2016",1,"23.285107, 31.5204557"
"December 19, 2016",4,"-9.3103227, 32.752266"
"December 19, 2016",5,"21.9184497, 30.9785982"
"December 19, 2016",1,"23.459686, 30.6654494"
"December 19, 2016",1,"17.1837833, 34.6103947"
"December 19, 2016",2,"19.99046302, 32.5763646629"
"December 19, 2016",2,"12.5561539, 37.4133395"
"December 19, 2016",5,"39.3371165, 26.7023165"
"December 19, 2016",1,"21.1246874, 92.1928428"
"December 19, 2016",1,"31.871233, -110.419"
"December 19, 2016",1,"32.37812, -113.11867"
"December 19, 2016",2,"14.0316722, 35.3417723"
"December 19, 2016",3,"15.5015341, 32.5025561"
"December 19, 2016",1,"21.7950029, 31.3237261"
"December 20, 2016",1,"14.2923717, 36.601552673"
"December 20, 2016",2,"15.5015341, 32.5025561"
"December 20, 2016",2,"17.6922271, 33.9762492"
"December 20, 2016",2,"23.2488413, 19.7242161"
"December 20, 2016",12,"-25.9814476, 32.6444985"
"December 20, 2016",6,"20.6699979, 32.4844197"
"December 20, 2016",3,"17.6922271, 33.9762492"
"December 20, 2016",2,"17.6922271, 33.9762492"
"December 20, 2016",1,"32.0983, -113.00742"
"December 20, 2016",1,"31.871983, -112.735917"
"December 20, 2016",1,"32.657333, -112.754"
"December 21, 2016",1,"28.640084, -100.5886411"
"December 21, 2016",3,"15.5015341, 32.5025561"
"December 21, 2016",1,"11.3098486, 42.9243672"
"December 22, 2016",1,"32.01581, -111.26681"
"December 22, 2016",58,"36.756978, 11.9928794"
"December 22, 2016",47,"36.756978, 11.9928794"
"December 23, 2016",61,"32.7610231, 12.6998943"
"December 23, 2016",1,"43.7891799, 7.5116831"
"December 24, 2016",1,"51.0333082, 2.2118384"
"December 25, 2016",1,"18.2681566, -95.8969461"
"December 25, 2016",1,"32.001303, -110.984272"
"December 26, 2016",12,"18.2681566, -95.8969461"
"December 24, 2016",1,"36.756978, 11.9928794"
"December 25, 2016",6,"11.4035871, 40.0083679"
"December 25, 2016",3,"37.122331, 40.8745875"
"December 26, 2016",1,"43.5736643, 22.448596"
"December 26, 2016",1,"0.5134967, 42.0688284"
"December 28, 2016",1,"24.215586, -99.4332699"
"December 29, 2016",3,"44.6424911, 20.2208588"
"December 31, 2016",2,"33.2067986, 11.2209547"
"December 30, 2016",1,"29.942368, -104.3730091"
"December 30, 2016",1,"20.9649223, 92.2139799"
"December 31, 2016",18,"26.376354, -98.3833477"
"December 31, 2016",16,"27.688366, -99.25259"
"December 31, 2016",2,"31.7602016, 13.9776971"
"December 31, 2016",2,"32.8872094, 13.1913383"
"December 31, 2016",2,"27.54951005, 13.3171981875"
"December 31, 2016",4,"32.75282775, 12.4749279838"
"December 31, 2016",3,"27.0663171, 14.3336145"
"January 3, 2016",1,"51.02185801, 2.3568635803"
"September 1, 2016",1,"50.95129, 1.858686"
"August 11, 2016",1,"31.749483, -111.615983"
"January 17, 2016",1,"32.781117, -112.548317"
"April 7, 2016",1,"31.888854, -111.385888"
"June 20, 2016",1,"32.84785, -113.2995"
"June 27, 2016",1,"32.846261, -112.29039"
"July 21, 2016",1,"32.76809, -113.146834"
"July 30, 2016",1,"32.840117, -112.6005"
"July 30, 2016",1,"32.840117, -112.6004"
"August 9, 2016",1,"32.86633, -113.156012"
"August 10, 2016",1,"32.854033, -113.030283"
"September 16, 2016",1,"32.782782, -112.952022"
"September 30, 2016",1,"31.66715, -111.831817"
"October 17, 2016",1,"32.662567, -112.24245"
"November 8, 2016",1,"33.15088, -112.39065"
"November 8, 2016",1,"32.686317, -112.228633"
"December 31, 2016",1,"22.73438554, 12.9393314082"
"January 1, 2017",2,"35.90866634, -5.37889276"
"January 2, 2017",1,"32.1117, -112.9925"
"January 2, 2017",1,"42.3833314, 27.6611762"
"January 2, 2017",1,"32.8808385, 13.3443538"
"January 3, 2017",1,"31.91683, -112.93808"
"January 3, 2017",1,"41.3454098, 26.4808109"
"January 3, 2017",1,"26.0858723, -98.2557676"
"January 4, 2017",3,"29.9834835, 19.1499472"
"January 4, 2017",5,"32.9006121, 13.0461726"
"January 4, 2017",3,"35.1761423, -2.9240733"
"January 4, 2017",1,"31.700433, -111.700666"
"January 4, 2017",2,"33.3555588, 35.7386808"
"January 6, 2017",2,"42.0125, 27.6064223"
"January 7, 2017",1,"32.31711, -113.13486"
"January 7, 2017",1,"32.31711, -113.13483"
"January 7, 2017",1,"32.30597, -113.09133"
"January 7, 2017",3,"17.7159395, 33.8359077"
"January 7, 2017",2,"17.6922271, 33.9762492"
"January 8, 2017",1,"27.0227822, -98.5412384"
"January 9, 2017",1,"27.13979415, -98.30781523"
"January 9, 2017",1,"31.68753, -111.98465"
"January 10, 2017",1,"32.06821, -112.4018"
"January 10, 2017",1,"32.791284, 12.4152649"
"January 10, 2017",1,"17.6922271, 33.9762492"
"January 10, 2017",1,"21.458372, 32.320567"
"January 11, 2017",1,"26.5101629, -99.0262463"
"January 12, 2017",14,"33.010693, 12.0476696"
"January 12, 2017",1,"27.1934864, -104.1453631"
"January 13, 2017",3,"33.6406863, 16.6612232"
"January 13, 2017",1,"27.51984, -99.41595"
"January 13, 2017",1,"25.8433787, -97.5849845"
"January 13, 2017",1,"26.0525676, -98.3662434"
"January 13, 2017",1,"14.7630516, 33.3457105"
"January 13, 2017",3,"17.699594, 33.8824071"
"January 13, 2017",4,"17.7159395, 33.8359077"
"January 13, 2017",2,"26.3277918, 32.7206353"
"January 14, 2017",176,"33.0953228, 12.6489293"
"January 14, 2017",1,"35.1761423, -2.9240733"
"January 14, 2017",3,"35.1761423, -2.9240733"
"January 14, 2017",15,"35.99913837, -5.61058574"
"January 14, 2017",1,"35.92788216, -5.29450409"
"January 14, 2017",1,"17.1499539, 34.7280764"
"January 14, 2017",2,"16.0815803, 38.2290426"
"January 14, 2017",1,"18.0267284, 33.9751766"
"January 14, 2017",1,"16.634096, 30.6652007"
"January 14, 2017",1,"40.8863787, 26.1774086"
"January 15, 2017",1,"19.5488493, -71.721089"
"January 15, 2017",1,"31.8974232, 54.3568562"
"January 15, 2017",1,"29.0984956, 58.337468"
"January 15, 2017",1,"27.5299906, 60.5820676"
"January 15, 2017",1,"37.7002746, 27.036172"
"January 13, 2017",2,"33.6406863, 16.6612232"
"January 15, 2017",1,"32.11655, -111.67701"
"January 16, 2017",1,"26.0525676, -98.3662434"
"January 16, 2017",3,"14.0316722, 35.3417723"
"January 16, 2017",3,"24.0721322, 32.7199027"
"January 17, 2017",1,"30.3548893, 56.002705"
"January 17, 2017",1,"27.1832216, 56.2666455"
"January 17, 2017",4,"14.0316722, 35.3417723"
"January 17, 2017",6,"22.0567009, 30.1355035"
"January 17, 2017",1,"24.0642537, 32.7935513"
"January 17, 2017",1,"19.4126575, -98.1572127"
"January 17, 2017",1,"27.4565378, -99.5698487"
"January 17, 2017",1,"27.0273057, -98.39295928"
"January 18, 2017",1,"27.1835782, -98.0559246"
"January 18, 2017",3,"12.9529528, 36.1482918"
"January 18, 2017",1,"26.0525676, -98.3662434"
"January 18, 2017",1,"3.713282, 43.8759565"
"January 18, 2017",1,"32.45399, -113.18415"
"January 18, 2017",1,"32.0145, -112.06358"
"January 19, 2017",1,"27.1058788, -98.2058397"
"January 19, 2017",1,"15.0979697, 36.6521817"
"January 19, 2017",5,"29.1986314, 19.2225845"
"January 19, 2017",2,"14.0316722, 35.3417723"
"January 19, 2017",3,"25.0270317, 13.7350629"
"January 19, 2017",2,"14.2782317, 36.596317"
"January 19, 2017",10,"25.0270317, 13.7350629"
"January 19, 2017",1,"15.6291005, 30.9519604"
"January 19, 2017",32,"29.8322059, 16.3455892"
"January 20, 2017",1,"9.3521044, 42.7773712"
"January 20, 2017",7,"18.5247319, 31.6416234"
"January 20, 2017",9,"-19.7768669, 34.7989137"
"January 20, 2017",3,"-10.7027877, 37.7745747"
"January 20, 2017",1,"17.7159395, 33.8359077"
"January 20, 2017",1,"18.0501277, 33.8037246"
"January 20, 2017",1,"15.6291005, 30.9519604"
"January 20, 2017",2,"17.6922271, 33.9762492"
"January 21, 2017",1,"50.9518803, 1.8339367"
"January 21, 2017",5,"32.791284, 12.4152649"
"January 21, 2017",1,"32.9115192, 13.11777"
"January 21, 2017",1,"27.60315357, -99.58366425"
"January 22, 2017",2,"18.9047594, 27.8468919"
"January 22, 2017",1,"24.0642537, 32.7935513"
"January 23, 2017",1,"21.7274483, 31.3129289"
"January 23, 2017",1,"26.0525676, -98.3662434"
"January 23, 2017",1,"32.66688991, -115.46015872"
"January 23, 2017",31,"2.108667, 104.0113461"
"January 24, 2017",10,"32.9115192, 13.11777"
"January 24, 2017",68,"21.6530791, -72.0586737"
"January 24, 2017",1,"25.8433787, -97.5849845"
"January 24, 2017",1,"26.22018546, -98.47763265"
"January 25, 2017",1,"26.06549106, -97.93420931"
"January 26, 2017",2,"18.48899382, -67.17726982"
"January 26, 2017",1,"26.2275051, -98.51294518"
"January 26, 2017",1,"26.2275051, -98.51294518"
"January 27, 2017",1,"32.3088, -111.395217"
"January 27, 2017",2,"26.81693967, -99.24348542"
"January 27, 2017",1,"27.02898844, -98.02606837"
"January 27, 2017",3,"32.791284, 12.4152649"
"January 27, 2017",2,"35.39080447, 13.39090756"
"January 28, 2017",2,"35.39080447, 13.39090756"
"January 28, 2017",1,"17.6991099, 38.2380839"
"January 29, 2017",1,"28.6919315, -100.514183"
"November 19, 2017",5,"32.83194576, -117.28843784"
"November 19, 2017",1,"32.69422005, -115.46553581"
"January 31, 2017",5,"15.4558144, 36.3787571"
"November 20, 2017",2,"22.953272, 21.709648"
"November 21, 2017",1,"23.906767, 22.023754"
"November 21, 2017",1,"25.150259, 21.270055"
"November 21, 2017",1,"45.15232183, 19.13310557"
"November 22, 2017",1,"41.2443761, 26.1359431"
"November 22, 2017",1,"16.998511, 8.006251"
"November 22, 2017",1,"-8.0028892, 12.6392316"
"November 22, 2017",3,"20.829518, 24.079226"
"November 22, 2017",6,"34.40533394, 13.98235393"
"November 22, 2017",1,"29.945985, 61.913843"
"January 30, 2017",3,"36.7464316, -2.1720646"
"November 22, 2017",3,"19.6939138, -71.3156315"
"January 30, 2017",1,"31.4246, -111.2435"
"January 30, 2017",1,"27.4565378, -99.5698487"
"January 30, 2017",1,"28.6910517, -100.5801829"
"January 31, 2017",1,"26.0525676, -98.3662434"
"January 31, 2017",1,"28.7091433, -100.4995214"
"January 31, 2017",3,"32.86875614, 13.18721843"
"January 31, 2017",2,"26.38462764, 21.56793061"
